raw_sequence,sequence,y_true,confidence
"Look to how your coreligionists in Russia are treating homosexuals and then get back to us Catholics. 

The fact we have a largely celibate priesthood means we have many same sex attracted men in the priesthood and you will rarely hear a peep from the pulpit about sexual morality.",2298 2000 2129 2115 4563 3669 11411 26942 2015 1999 3607 2024 12318 15667 2015 1998 2059 2131 2067 2000 2149 10774 1012 1996 2755 2057 2031 1037 4321 8292 29521 3686 17911 2965 2057 2031 2116 2168 3348 6296 2273 1999 1996 17911 1998 2017 2097 6524 2963 1037 21392 2361 2013 1996 23134 2055 4424 16561 1012,0,0.668420135974884
"Yep, every business owner who hates gay people for whatever reason could put out signs saying ""No homosexuals allowed"" or ""Help wanted: homosexuals need not apply"".
All they'd have to do is claim their conscience is violated.
Conservative Christian groups would launch campaigns claiming businesses that didn't discriminate were anti-Christian and anti-family-values.
The people backing this baker want to shove gay people back in the closet.",15624 1010 2296 2449 3954 2040 16424 5637 2111 2005 3649 3114 2071 2404 2041 5751 3038 1000 2053 15667 2015 3039 1000 2030 1000 2393 2359 1024 15667 2015 2342 2025 6611 1000 1012 2035 2027 1005 1040 2031 2000 2079 2003 4366 2037 13454 2003 14424 1012 4603 3017 2967 2052 4888 8008 6815 5661 2008 2134 1005 1056 5860 20026 14776 2020 3424 1011 3017 1998 3424 1011 2155 1011 5300 1012 1996 2111 5150 2023 6243 2215 2000 14738 5637 2111 2067 1999 1996 9346 1012,1,0.6214022040367126
"I think the issue changed topic from the original assertion to a statement of whether people who are gay or of other gender identification are discriminated against. 
The original letter divided into two issues. One was what people do in their bedrooms is their own business. That's the author's personal view. Not a universal assertion. Second, that he was nervous when a woman looking person uses a men's bathroom. 
There are so many issues here that it is easy for the discussion to get diverted to any one of them.",1045 2228 1996 3277 2904 8476 2013 1996 2434 23617 2000 1037 4861 1997 3251 2111 2040 2024 5637 2030 1997 2060 5907 8720 2024 5860 20026 15833 2114 1012 1996 2434 3661 4055 2046 2048 3314 1012 2028 2001 2054 2111 2079 1999 2037 18390 2003 2037 2219 2449 1012 2008 1005 1055 1996 3166 1005 1055 3167 3193 1012 2025 1037 5415 23617 1012 2117 1010 2008 2002 2001 6091 2043 1037 2450 2559 2711 3594 1037 2273 1005 1055 5723 1012 2045 2024 2061 2116 3314 2182 2008 2009 2003 3733 2005 1996 6594 2000 2131 18356 2000 2151 2028 1997 2068 1012,0,0.2435341477394104
"These are economic migrants, but of course they will tell you they are gay political dissidents escaping persecution.",2122 2024 3171 16836 1010 2021 1997 2607 2027 2097 2425 2017 2027 2024 5637 2576 4487 18719 28986 13002 14522 1012,1,0.746475875377655
"""Contrary to what they say, liberals aren't exempt from hatred. ""

Very true, just try to have a conversation opposing, oh say, gay marriage, abortion or the first amendment and you'll  find out just how much hate they harbor inside.  Actually, any view that opposes theirs will bring it out.",1000 10043 2000 2054 2027 2360 1010 13350 4995 1005 1056 11819 2013 11150 1012 1000 2200 2995 1010 2074 3046 2000 2031 1037 4512 10078 1010 2821 2360 1010 5637 3510 1010 11324 2030 1996 2034 7450 1998 2017 1005 2222 2424 2041 2074 2129 2172 5223 2027 6496 2503 1012 2941 1010 2151 3193 2008 29158 17156 2097 3288 2009 2041 1012,0,0.30833250284194946
"That is because even the Church realizes that you can't legislate morality.

The Church was involved in the gay marriage debate but not because the Church wants to outlaw homosexuality.  The Church was involved in the gay marriage debate because reality cannot be redefined at will by anyone.  Gay marriage is as much an oxymoron as a married bachelor is.  The issue for the Church was ""What is marriage.""  That is why the Church was involved in that.  The Church was not trying to legislate morality, the Church was saying ""Reality cannot be redefined just because certain people are offended by it.""",2008 2003 2138 2130 1996 2277 10919 2008 2017 2064 1005 1056 4190 2483 13806 16561 1012 1996 2277 2001 2920 1999 1996 5637 3510 5981 2021 2025 2138 1996 2277 4122 2000 19104 15949 1012 1996 2277 2001 2920 1999 1996 5637 3510 5981 2138 4507 3685 2022 2417 28344 2012 2097 2011 3087 1012 5637 3510 2003 2004 2172 2019 23060 24335 14604 2078 2004 1037 2496 5065 2003 1012 1996 3277 2005 1996 2277 2001 1000 2054 2003 3510 1012 1000 2008 2003 2339 1996 2277 2001 2920 1999 2008 1012 1996 2277 2001 2025 2667 2000 4190 2483 13806 16561 1010 1996 2277 2001 3038 1000 4507 3685 2022 2417 28344 2074 2138 3056 2111 2024 15807 2011 2009 1012 1000,0,0.19342730939388275
"Cue the circus music.  
The people who believe that gay people are going to burn for all eternity in a lake of fire married to the people who believe that the free market will fix everything.  
Good grief.  
Should be entertaining anyway.",16091 1996 9661 2189 1012 1996 2111 2040 2903 2008 5637 2111 2024 2183 2000 6402 2005 2035 12715 1999 1037 2697 1997 2543 2496 2000 1996 2111 2040 2903 2008 1996 2489 3006 2097 8081 2673 1012 2204 9940 1012 2323 2022 14036 4312 1012,0,0.5099937915802002
"live and let live only extends to those who want to force gay marriage down everyone's throat.

we live in a pluralistic society, get over it. people are free to disagree and have their religious freedoms protected.",2444 1998 2292 2444 2069 8908 2000 2216 2040 2215 2000 2486 5637 3510 2091 3071 1005 1055 3759 1012 2057 2444 1999 1037 13994 6553 2554 1010 2131 2058 2009 1012 2111 2024 2489 2000 21090 1998 2031 2037 3412 22467 5123 1012,0,0.46627727150917053
"It's posturing, pure and simple.  Freeland has a hate on for Russia and the feeling is mutual (she's been banned from the country).   An opportunity to stick it to the Russians was too good to pass up.  Add pandering to the gay community, and the Liberals have a two-for-one special, all under the guise of being progressive.",2009 1005 1055 2695 12228 1010 5760 1998 3722 1012 2489 3122 2038 1037 5223 2006 2005 3607 1998 1996 3110 2003 8203 1006 2016 1005 1055 2042 7917 2013 1996 2406 1007 1012 2019 4495 2000 6293 2009 2000 1996 12513 2001 2205 2204 2000 3413 2039 1012 5587 6090 4063 2075 2000 1996 5637 2451 1010 1998 1996 13350 2031 1037 2048 1011 2005 1011 2028 2569 1010 2035 2104 1996 21980 1997 2108 6555 1012,0,0.3315580487251282
"Oh, I know a lot of gays.  In fact, several are dead from AIDS.",2821 1010 1045 2113 1037 2843 1997 5637 2015 1012 1999 2755 1010 2195 2024 2757 2013 8387 1012,1,0.732344388961792
"We will simply wait for this boob of a bishop to be removed, or retire, or pass away, while we pray for all of the members of the Springfield, IL diocese.  As we have seen throughout modern history, this sort of thought has a very short shelf life in the public realm.  Almost no one will listen anyway.  And the vast majority of gays and lesbians I encounter in my two graduate-level courses (one at a Catholic university) simply plan to have their funeral service done in non-Catholic, Christian churches that are affirming.  Most often mentioned are Episcopal, but more and more are now choosing United Church of Christ.  So you see, the only thing such hate produces is pushing people out and away.  This is not what Christ ever intended or wanted.",2057 2097 3432 3524 2005 2023 22017 2497 1997 1037 3387 2000 2022 3718 1010 2030 11036 1010 2030 3413 2185 1010 2096 2057 11839 2005 2035 1997 1996 2372 1997 1996 10493 1010 6335 5801 1012 2004 2057 2031 2464 2802 2715 2381 1010 2023 4066 1997 2245 2038 1037 2200 2460 11142 2166 1999 1996 2270 8391 1012 2471 2053 2028 2097 4952 4312 1012 1998 1996 6565 3484 1997 5637 2015 1998 11690 2015 1045 8087 1999 2026 2048 4619 1011 2504 5352 1006 2028 2012 1037 3234 2118 1007 3432 2933 2000 2031 2037 6715 2326 2589 1999 2512 1011 3234 1010 3017 5231 2008 2024 21358 27972 2075 1012 2087 2411 3855 2024 9134 1010 2021 2062 1998 2062 2024 2085,0,0.2201680839061737
"The parents need to join the 21st century. Reckless behavior happens because we marginalized gay sexuality. Redefining it as differently ordered allows us to encourage monogamy with a straight face. Calling their sexuality always disordered gives away the standing to say anything, as does including this conversation in a larger moralist rhetoric designed to pander to the the lowest common denominator in the Alt Right. That is messed up. Interestingly, many gays and lesbians follow monogamy naturally because it is the natural thing to do, More would if it were not for the hate mongers.",1996 3008 2342 2000 3693 1996 7398 2301 1012 18555 5248 6433 2138 2057 14785 3550 5637 13798 1012 2417 12879 24002 2009 2004 11543 3641 4473 2149 2000 8627 18847 22864 2100 2007 1037 3442 2227 1012 4214 2037 13798 2467 8761 2098 3957 2185 1996 3061 2000 2360 2505 1010 2004 2515 2164 2023 4512 1999 1037 3469 7191 2923 17871 2881 2000 6090 4063 2000 1996 1996 7290 2691 7939 20936 27413 1999 1996 12456 2157 1012 2008 2003 18358 2039 1012 5875 2135 1010 2116 5637 2015 1998 11690 2015 3582 18847 22864 2100 8100 2138 2009 2003 1996 3019 2518 2000 2079 1010 2062 2052 2065 2009 2020 2025 2005 1996 5223 12256 15776 1012,0,0.45420974493026733
"Homosexuality is not abnormal. It is natural. Its been part of human existence 12,0000 years before you were born and part of sapien dna 400,000 years prior. It occurs in nearly every mammal on earth, including but not limited to both male and females of the species. The same things you are saying about people of ""abnormal"" genders is the same as was said about black's and women's rights and prior to that land owners. There will always be scripture that agrees with your position, any position. I can quote scripture from Jesus healing the Roman Centurion's male concubine without acting offended about his sexuality. But no, clearly god doesn't want you to bake someone a cake because of what they do in the privacy of their bedroom. That makes perfect since to someone.",15949 2003 2025 19470 1012 2009 2003 3019 1012 2049 2042 2112 1997 2529 4598 2260 1010 2199 2692 2086 2077 2017 2020 2141 1998 2112 1997 20066 9013 6064 4278 1010 2199 2086 3188 1012 2009 5158 1999 3053 2296 25476 2006 3011 1010 2164 2021 2025 3132 2000 2119 3287 1998 3801 1997 1996 2427 1012 1996 2168 2477 2017 2024 3038 2055 2111 1997 1000 19470 1000 5907 2015 2003 1996 2168 2004 2001 2056 2055 2304 1005 1055 1998 2308 1005 1055 2916 1998 3188 2000 2008 2455 5608 1012 2045 2097 2467 2022 18919 2008 10217 2007 2115 2597 1010 2151 2597 1012 1045 2064 14686 18919 2013 4441 8907 1996 3142 9358 9496 2239 1005 1055 3287 9530 10841 16765,0,0.32102638483047485
"They are also very much interested in male pelvises. If you are male and homosexual, they have plenty to say about the region of your pelvis. And they are also interested in my vasectomy.

My brother describes God as ""an omnipotent, omniscient being with an inordinate interest in my sex life"".",2027 2024 2036 2200 2172 4699 1999 3287 21877 28530 2229 1012 2065 2017 2024 3287 1998 15667 1010 2027 2031 7564 2000 2360 2055 1996 2555 1997 2115 21877 28530 1012 1998 2027 2024 2036 4699 1999 2026 18781 6593 16940 1012 2026 2567 5577 2643 2004 1000 2019 18168 3490 11008 4765 1010 18168 8977 23402 3372 2108 2007 2019 1999 8551 14776 3037 1999 2026 3348 2166 1000 1012,0,0.4816068112850189
Apparently if there are no selfie opportunities or a gay pride parade involved Junior is not interested.,4593 2065 2045 2024 2053 2969 2666 6695 2030 1037 5637 6620 7700 2920 3502 2003 2025 4699 1012,0,0.3556888699531555
"STD's occur in every ""sexually active"" group. A very small number of gays fall into that group. Most gays are monogamous, in committed relationships. Your portrayal of gays is wrong headed and stupid. I figure you're a troll or an idiot, because Trump certainly doesn't agree with you.",2358 2094 1005 1055 5258 1999 2296 1000 12581 3161 1000 2177 1012 1037 2200 2235 2193 1997 5637 2015 2991 2046 2008 2177 1012 2087 5637 2015 2024 18847 22864 3560 1010 1999 5462 6550 1012 2115 13954 1997 5637 2015 2003 3308 3753 1998 5236 1012 1045 3275 2017 1005 2128 1037 18792 2030 2019 10041 1010 2138 8398 5121 2987 1005 1056 5993 2007 2017 1012,1,0.7857357859611511
What does gay rights have to do with it?,2054 2515 5637 2916 2031 2000 2079 2007 2009 1029,0,0.6015104651451111
"And these clowns seem to CONSTANTLY engage in double think. Classic recent examples?

The conspiracy theories that Obama is secretly Muslim and secretly gay. How on Earth would that work?

Or that he's secretly gay and that Michelle is transgender. If he's gay, why would he be married to a transgendered woman?


Or another one - according the the right wing conspiracy theories in the 90s, Hillary was a radical, ball-busting man-hating mega-feminist and super-hippie Communist.


Now she's ""Hitlery"" a neo-con warhawk that wants to start WWIII with the Russians, running child sex abuse rings out of a pizza parlor, etc...


Talk about double think. And many of the rubes don't even notice the complete 180 on the Clinton conspiracy theories they are made to swallow on the daily.",1998 2122 15912 2015 4025 2000 7887 8526 1999 3313 2228 1012 4438 3522 4973 1029 1996 9714 8106 2008 8112 2003 10082 5152 1998 10082 5637 1012 2129 2006 3011 2052 2008 2147 1029 2030 2008 2002 1005 1055 10082 5637 1998 2008 9393 2003 16824 1012 2065 2002 1005 1055 5637 1010 2339 2052 2002 2022 2496 2000 1037 16824 2098 2450 1029 2030 2178 2028 1011 2429 1996 1996 2157 3358 9714 8106 1999 1996 17233 1010 18520 2001 1037 7490 1010 3608 1011 13950 2075 2158 1011 22650 13164 1011 10469 1998 3565 1011 5099 14756 4750 1012 2085 2016 1005 1055 1000 8042 2100 1000 1037 9253 1011 9530 2162 17998 2008 4122 2000 2707 25755 2072 2007 1996 12513 1010,1,0.6946348547935486
"You do realize that The Village People consisted of gay men, don't you. Well, don't you?",2017 2079 5382 2008 1996 2352 2111 5031 1997 5637 2273 1010 2123 1005 1056 2017 1012 2092 1010 2123 1005 1056 2017 1029,1,0.6756466031074524
"Although we've made a lot of progress on the legal and political front, homophobia, violence and discrimination still threaten the LGBTQ community in Canada. I hear many stories at Pride Parades and online of people who know people who have been bashed. It is estimated that 98% of gay bashings still go unreported, and hate-crimes statistics are not accurate because these incidents are never taken into account. There is still much more work to be done to address bullying and trans rights in Canada. Like Prime Minister Trudeau recently said at the U.N- ""Canada is still a work in progress"".",2348 2057 1005 2310 2081 1037 2843 1997 5082 2006 1996 3423 1998 2576 2392 1010 24004 24920 1010 4808 1998 9147 2145 15686 1996 12010 4160 2451 1999 2710 1012 1045 2963 2116 3441 2012 6620 26635 1998 3784 1997 2111 2040 2113 2111 2040 2031 2042 24234 2098 1012 2009 2003 4358 2008 5818 1003 1997 5637 24234 8613 2145 2175 4895 2890 6442 2098 1010 1998 5223 1011 6997 6747 2024 2025 8321 2138 2122 10444 2024 2196 2579 2046 4070 1012 2045 2003 2145 2172 2062 2147 2000 2022 2589 2000 4769 18917 1998 9099 2916 1999 2710 1012 2066 3539 2704 19817 27627 3728 2056 2012 1996 1057 1012 1050 1011 1000 2710 2003 2145 1037 2147 1999 5082 1000 1012,0,0.5209450125694275
Gorsuch is no friend of gay Americans and here's the beginning of the proof.,2175 2869 10875 2003 2053 2767 1997 5637 4841 1998 2182 1005 1055 1996 2927 1997 1996 6947 1012,0,0.6683697700500488
"Accepting as true that the Southern Baptist Convention is racist, what does that have to do with abortion, gay marriage, and other key culture war issues?  Nothing.  Last time I checked, Pope Francis was no cracker.  You usin' pretzel logic, Vern.",10564 2004 2995 2008 1996 2670 7550 4680 2003 16939 1010 2054 2515 2008 2031 2000 2079 2007 11324 1010 5637 3510 1010 1998 2060 3145 3226 2162 3314 1029 2498 1012 2197 2051 1045 7039 1010 4831 4557 2001 2053 8579 2121 1012 2017 2149 2378 1005 3653 23102 2140 7961 1010 2310 6826 1012,1,0.6399680972099304
Thank you for writing this. The trend of brutish behaviour by women in gay bars needs to stop.,4067 2017 2005 3015 2023 1012 1996 9874 1997 7987 21823 4095 9164 2011 2308 1999 5637 6963 3791 2000 2644 1012,1,0.757807731628418
"Peter, please explain what ""support for gay issues"" means?  It seems the decision of the Supreme Court, actually multiple decisions, to get the government out of the way of the First Amendment rights of citizens is precisely supporting ""gay issues"".",2848 1010 3531 4863 2054 1000 2490 2005 5637 3314 1000 2965 1029 2009 3849 1996 3247 1997 1996 4259 2457 1010 2941 3674 6567 1010 2000 2131 1996 2231 2041 1997 1996 2126 1997 1996 2034 7450 2916 1997 4480 2003 10785 4637 1000 5637 3314 1000 1012,0,0.17549428343772888
"Interesting rebuttal Onne, but I have a few queries for you:
Firstly, you suggest that 'As it stands, there are vastly different ideas about what can be considered “good” or acceptable in different countries, cultures and even between different individuals of the same culture' - surely the many differences you outline are clear evidence for the fact good and evil are human, rather than divine constructs?
Also, you state: 'If there is no God, humans have invented the concepts of good and evil…there is no absolute moral standard, and what one generation or society or culture decides is evil may be considered perfectly acceptable by another' - but that is exactly how it goes: slavery was condoned in in the old testament, while homosexuality was condemned, yet today the views on these are 180 degrees in the opposite direction. If we stuck to the absolute moral standard laid out in the bible, we'd still be keeping slaves and condemning homosexuals...",5875 2128 8569 28200 2006 2638 1010 2021 1045 2031 1037 2261 10861 5134 2005 2017 1024 15847 1010 2017 6592 2008 1005 2004 2009 4832 1010 2045 2024 24821 2367 4784 2055 2054 2064 2022 2641 1523 2204 1524 2030 11701 1999 2367 3032 1010 8578 1998 2130 2090 2367 3633 1997 1996 2168 3226 1005 1011 7543 1996 2116 5966 2017 12685 2024 3154 3350 2005 1996 2755 2204 1998 4763 2024 2529 1010 2738 2084 7746 9570 2015 1029 2036 1010 2017 2110 1024 1005 2065 2045 2003 2053 2643 1010 4286 2031 8826 1996 8474 1997 2204 1998 4763 1529 2045 2003 2053 7619 7191 3115 1010 1998 2054 2028 4245 2030 2554 2030 3226 7288 2003 4763 2089 2022 2641 6669,0,0.23335982859134674
"""The Bartons oppose allowing openly gay or transgender students or parents in Catholic schools because they believes it constitutes a 'passive affirmation' of their lifestyle and could be confusing or 'a near occasion of sin' for young impressionable children.""

You want a ""near occasion of sin""? How about bringing up your children to loathe their LGBT brethren and sistren.",1000 1996 12975 2015 15391 4352 10132 5637 2030 16824 2493 2030 3008 1999 3234 2816 2138 2027 7164 2009 17367 1037 1005 13135 21358 27972 3370 1005 1997 2037 9580 1998 2071 2022 16801 2030 1005 1037 2379 6686 1997 8254 1005 2005 2402 8605 3085 2336 1012 1000 2017 2215 1037 1000 2379 6686 1997 8254 1000 1029 2129 2055 5026 2039 2115 2336 2000 8840 8988 2063 2037 12010 17937 1998 24761 7913 2078 1012,0,0.37071165442466736
"But if you look at the sexual ethic that they preach, it is decidedly influenced by what would be natural for an asexual orientation. Male asexuals have the same kind of ""unmasculine"" affect but are not gay. Kind of a standoffish gentleness.",2021 2065 2017 2298 2012 1996 4424 3802 16066 2008 2027 25250 1010 2009 2003 27873 5105 2011 2054 2052 2022 3019 2005 2019 2004 10288 8787 10296 1012 3287 2004 10288 8787 2015 2031 1996 2168 2785 1997 1000 4895 9335 10841 4179 1000 7461 2021 2024 2025 5637 1012 2785 1997 1037 3233 7245 4509 7132 2791 1012,0,0.6885260343551636
"""Kevin Swanson: Hurricane Harvey Is God's Judgment On Houston 
For Having A 'Very Aggressively Pro-Homosexual Mayor'""
http://www.rightwingwatch.org/post/kevin-swanson-hurricane-harvey-is-gods-judgment-on-houston-for-having-a-very-aggressively-pro-homosexual-mayor/

Here's my newest fave from the fever swamps:
Mark Taylor: Freemasons And Illuminati Are Using A Special Frequency To Change DNA And Make People Hate Trump
http://www.rightwingwatch.org/post/mark-taylor-freemasons-and-illuminati-are-using-a-special-frequency-to-change-dna-and-make-people-hate-trump/",1000 4901 26699 2239 1024 7064 7702 2003 2643 1005 1055 8689 2006 5395 2005 2383 1037 1005 2200 24663 4013 1011 15667 3664 1005 1000 8299 1024 1013 1013 7479 1012 2157 9328 18866 1012 8917 1013 2695 1013 4901 1011 26699 2239 1011 7064 1011 7702 1011 2003 1011 5932 1011 8689 1011 2006 1011 5395 1011 2005 1011 2383 1011 1037 1011 2200 1011 24663 1011 4013 1011 15667 1011 3664 1013 2182 1005 1055 2026 14751 6904 3726 2013 1996 9016 22722 1024 2928 4202 1024 2489 9335 5644 1998 5665 12717 19833 2072 2024 2478 1037 2569 6075 2000 2689 6064 1998 2191 2111 5223 8398 8299 1024 1013 1013 7479 1012 2157 9328 18866 1012 8917 1013 2695 1013 2928,0,0.271131306886673
"The 14th amendment was written to free former male slaves from the status of second class citizens.  No word there about marriage.  Given the believe system that existed when the 14th was written (when women could not even vote) it hard to argue that those who framed and approved the amendment intended that it be read to require gay marriage.  When the liberals on the supreme court chose to say the 14th amendment read on gay marriage, they rewrote history and effectively acted as legislators making new law that they believed to appropriate at the present time.",1996 6400 7450 2001 2517 2000 2489 2280 3287 7179 2013 1996 3570 1997 2117 2465 4480 1012 2053 2773 2045 2055 3510 1012 2445 1996 2903 2291 2008 5839 2043 1996 6400 2001 2517 1006 2043 2308 2071 2025 2130 3789 1007 2009 2524 2000 7475 2008 2216 2040 10366 1998 4844 1996 7450 3832 2008 2009 2022 3191 2000 5478 5637 3510 1012 2043 1996 13350 2006 1996 4259 2457 4900 2000 2360 1996 6400 7450 3191 2006 5637 3510 1010 2027 2128 13088 12184 2381 1998 6464 6051 2004 22680 2437 2047 2375 2008 2027 3373 2000 6413 2012 1996 2556 2051 1012,0,0.19039122760295868
"Thank you for this calm, rational statement about sexual orientation. I don't understand the terrible myth out there that gay priests are responsible for the sexual abuse crisis. If anything is responsible for the clergy sex abuse crisis it is homophobia in the Catholic Church. Just my humble opinion...",4067 2017 2005 2023 5475 1010 11581 4861 2055 4424 10296 1012 1045 2123 1005 1056 3305 1996 6659 10661 2041 2045 2008 5637 8656 2024 3625 2005 1996 4424 6905 5325 1012 2065 2505 2003 3625 2005 1996 11646 3348 6905 5325 2009 2003 24004 24920 1999 1996 3234 2277 1012 2074 2026 15716 5448 1012 1012 1012,1,0.6433526277542114
"Gay civil marriage is settled law. Live with it, especially since it should not affect you in the slightest.",5637 2942 3510 2003 3876 2375 1012 2444 2007 2009 1010 2926 2144 2009 2323 2025 7461 2017 1999 1996 15989 1012,0,0.39251402020454407
"""""ramming this down the throats of Canadians"" 
Why is it that dino-cons always complain about something being ""rammed"" down their throat: bilingualism, gay rights, environmental measures,  etc. Let me suggest an effective remedy to this problem: keep your mouth shut unless you have something intelligent to say.",1000 1000 8223 6562 2023 2091 1996 3759 2015 1997 16485 1000 2339 2003 2009 2008 22412 1011 9530 2015 2467 17612 2055 2242 2108 1000 27653 1000 2091 2037 3759 1024 17636 2964 1010 5637 2916 1010 4483 5761 1010 4385 1012 2292 2033 6592 2019 4621 19519 2000 2023 3291 1024 2562 2115 2677 3844 4983 2017 2031 2242 9414 2000 2360 1012,0,0.27081769704818726
"Colin Kaepernick ought to talk to Michael Sam.
Sam was a top prospect, until he came out as gay. No NFL team has hired him.
To pretend there is no collusion is utter nonsense.
Several teams seemingly allow players to express their conscience by kneeling.
If any of the kneeling players' contracts are coming up for renewal, or if any of them are becoming free agents, it'll be interesting to see how few get offers.",6972 10556 13699 11795 6799 11276 2000 2831 2000 2745 3520 1012 3520 2001 1037 2327 9824 1010 2127 2002 2234 2041 2004 5637 1012 2053 5088 2136 2038 5086 2032 1012 2000 9811 2045 2003 2053 8902 24117 2003 14395 14652 1012 2195 2780 9428 3499 2867 2000 4671 2037 13454 2011 16916 1012 2065 2151 1997 1996 16916 2867 1005 8311 2024 2746 2039 2005 14524 1010 2030 2065 2151 1997 2068 2024 3352 2489 6074 1010 2009 1005 2222 2022 5875 2000 2156 2129 2261 2131 4107 1012,0,0.24898070096969604
"First, its 1000. It was not a big thing before that, as demonstrated by the Rite of Bacchus and Sergio. Gay unions were blessed. Secondly, modern gay marriage and the reactions to it are a recent phenomenon and Merlino is indulging in sour grapes. He invested a lot in fighting gay marriage in the public square and gave us his best natural law reasoning and was rebuked by the courts at every turn. His directive is not aimed at the sexuality of the deceased but at the legal recognition now afforded to his or her relationship. Truly childish of him.",2034 1010 2049 6694 1012 2009 2001 2025 1037 2502 2518 2077 2008 1010 2004 7645 2011 1996 14034 1997 8670 9468 9825 1998 13983 1012 5637 9209 2020 10190 1012 16378 1010 2715 5637 3510 1998 1996 9597 2000 2009 2024 1037 3522 9575 1998 15993 2080 2003 27427 5313 4726 1999 14768 16575 1012 2002 11241 1037 2843 1999 3554 5637 3510 1999 1996 2270 2675 1998 2435 2149 2010 2190 3019 2375 13384 1998 2001 2128 8569 8126 2011 1996 5434 2012 2296 2735 1012 2010 16449 2003 2025 6461 2012 1996 13798 1997 1996 10181 2021 2012 1996 3423 5038 2085 22891 2000 2010 2030 2014 3276 1012 5621 24282 1997 2032 1012,0,0.20927277207374573
"To say that Hillary Clinton supports infanticide is a damnable lie. And how does her support of gays marriage affect you in any way.

You want character flaws? The Donald has them in abundance. A disregard for such trivial things as facts, blatant sexism, racism and so on. Compared to him, Hillary is a paragon.",2000 2360 2008 18520 7207 6753 10527 21752 2003 1037 4365 3085 4682 1012 1998 2129 2515 2014 2490 1997 5637 2015 3510 7461 2017 1999 2151 2126 1012 2017 2215 2839 21407 1029 1996 6221 2038 2068 1999 14531 1012 1037 27770 2005 2107 20610 2477 2004 8866 1010 1038 20051 4630 3348 2964 1010 14398 1998 2061 2006 1012 4102 2000 2032 1010 18520 2003 1037 11498 7446 1012,1,0.6750964522361755
"Since you are an unthinking Neanderthal perhaps you can’t see the difference.  Skin color is just skin color.  There is only one race, the human race.  But homosexual activity isn’t a skin color, it is a behavior.  Does that concept penetrate your extra think skull?  And if it does, is it capable of reaching into your incredibly small, peanut-sized brain?  And even then, can it overcome the slavish dishonesty with which you’ve been infected?  You are indeed “Lying John Hobson”, a disgrace to all who sincerely seek to understand.  Is there a more dishonest person on these message boards?  Is there anyone more intolerant and hateful as you?  I don’t think so.  Your comments are always vile, and not just because they are ridiculous, stupid, arrogant and wrong, but because you can only twist and distort what others say in an effort to deceive.  I’m sure you do it to make yourself feel better, but it isn’t working.  You need professional help; psychoanalysis or exorcism I think.",2144 2017 2024 2019 4895 15222 8950 2075 11265 12243 24090 3383 2017 2064 1521 1056 2156 1996 4489 1012 3096 3609 2003 2074 3096 3609 1012 2045 2003 2069 2028 2679 1010 1996 2529 2679 1012 2021 15667 4023 3475 1521 1056 1037 3096 3609 1010 2009 2003 1037 5248 1012 2515 2008 4145 19136 2115 4469 2228 7412 1029 1998 2065 2009 2515 1010 2003 2009 5214 1997 4285 2046 2115 11757 2235 1010 21443 1011 7451 4167 1029 1998 2130 2059 1010 2064 2009 9462 1996 22889 18891 4095 9841 21821 3723 2007 2029 2017 1521 2310 2042 10372 1029 2017 2024 5262 1523 4688 2198 7570 27355 1524 1010 1037 29591 2000 2035 2040 25664 6148 2000 3305 1012 2003 2045 1037,1,0.7225733399391174
"How is a wedding cake offensive?
That is irrelevant.

No one can compel anyone to make a political cake. 

The baker has already made many cakes for gay weddings, he just did not know about it. If he did, he would have refused. 
So he is only offended when he knows it is a gay wedding cake. It is childish.

The baker is choosing to be offended. Religion is not an excuse to discriminate.",2129 2003 1037 5030 9850 5805 1029 2008 2003 22537 1012 2053 2028 2064 4012 11880 3087 2000 2191 1037 2576 9850 1012 1996 6243 2038 2525 2081 2116 22619 2005 5637 20429 1010 2002 2074 2106 2025 2113 2055 2009 1012 2065 2002 2106 1010 2002 2052 2031 4188 1012 2061 2002 2003 2069 15807 2043 2002 4282 2009 2003 1037 5637 5030 9850 1012 2009 2003 24282 1012 1996 6243 2003 10549 2000 2022 15807 1012 4676 2003 2025 2019 8016 2000 5860 20026 14776 1012,0,0.6189574599266052
